platform,brand,campaign_type,spend,impressions,clicks,orders,revenue,day_of_week,is_weekend,CTR,ROAS,CPC,is_risky
Blinkit,Sunfeast,Sponsored_Products,19297.0,168423,6674,664,114499.16,5,1,0.0396,5.93,2.89,0
Swiggy,Bingo,Sponsored_Display,31051.11,422585,3104,66,5761.12,2,0,0.0073,0.19,10.0,1
Zepto,Dove,Sponsored_Display,48506.03,639513,6158,119,65364.93,3,0,0.0096,1.35,7.88,1
Blinkit,Surf_Excel,Sponsored_Display,36517.74,433446,4034,87,66494.65,3,0,0.0093,1.82,9.05,1
Swiggy,Bingo,Sponsored_Products,46168.89,352885,12335,1101,104121.94,3,0,0.035,2.26,3.74,1
Swiggy,Bingo,Sponsored_Brands,38229.5,231099,4362,241,20558.59,6,1,0.0189,0.54,8.76,1
Swiggy,Dove,Sponsored_Brands,29789.99,151580,2765,137,68722.36,1,0,0.0182,2.31,10.77,1
Zepto,Knorr,Sponsored_Display,10005.16,104469,635,11,1740.05,4,0,0.0061,0.17,15.76,1
Swiggy,Dove,Sponsored_Display,33500.94,407466,4198,63,32114.29,2,0,0.0103,0.96,7.98,1
Swiggy,Sunfeast,Sponsored_Brands,31357.29,176807,2689,139,23513.38,6,1,0.0152,0.75,11.66,1
Swiggy,Dove,Sponsored_Brands,30322.22,188939,2934,102,62447.62,4,0,0.0155,2.06,10.33,1
Swiggy,Dove,Sponsored_Display,24744.4,315177,2367,38,19751.85,4,0,0.0075,0.8,10.45,1
Blinkit,Surf_Excel,Sponsored_Display,26668.5,328252,2834,52,41095.99,5,1,0.0086,1.54,9.41,1
Blinkit,Dove,Sponsored_Brands,17054.91,74822,1061,58,30680.0,3,0,0.0142,1.8,16.07,1
Swiggy,Ariel,Sponsored_Products,26205.98,219333,7380,500,362439.14,1,0,0.0336,13.83,3.55,0
Zepto,Bingo,Sponsored_Display,10279.02,106190,722,16,1445.46,5,1,0.0068,0.14,14.24,1
Blinkit,Ariel,Sponsored_Brands,40356.13,202628,3600,148,91136.53,0,0,0.0178,2.26,11.21,1
Swiggy,Surf_Excel,Sponsored_Brands,9695.96,51062,1120,66,49454.59,6,1,0.0219,5.1,8.66,0
Blinkit,Cadbury,Sponsored_Brands,4705.83,21097,514,27,7192.79,6,1,0.0244,1.53,9.16,1
Blinkit,Knorr,Sponsored_Brands,22094.18,109411,2720,106,14829.17,1,0,0.0249,0.67,8.12,1
Zepto,Ariel,Sponsored_Products,33086.22,225635,9396,1009,640505.33,4,0,0.0416,19.36,3.52,0
Swiggy,Surf_Excel,Sponsored_Brands,22166.98,112945,2400,85,65227.19,6,1,0.0212,2.94,9.24,1
Swiggy,Sunfeast,Sponsored_Display,14199.33,182415,1459,23,4606.3,1,0,0.008,0.32,9.73,1
Zepto,Cadbury,Sponsored_Products,28129.47,202278,6147,571,130944.64,6,1,0.0304,4.66,4.58,0
Zepto,Surf_Excel,Sponsored_Brands,17676.62,79636,1392,76,53460.18,6,1,0.0175,3.02,12.7,0
Swiggy,Surf_Excel,Sponsored_Products,46676.95,426688,10456,556,469810.69,3,0,0.0245,10.07,4.46,0
Swiggy,Knorr,Sponsored_Display,46170.93,696962,6507,126,20418.64,0,0,0.0093,0.44,7.1,1
Zepto,Bingo,Sponsored_Brands,25367.41,109353,1614,75,7404.91,3,0,0.0148,0.29,15.72,1
Blinkit,Ariel,Sponsored_Display,16730.26,223341,1380,35,24180.8,0,0,0.0062,1.45,12.12,1
Blinkit,Sunfeast,Sponsored_Brands,36988.05,162902,2324,110,21083.03,6,1,0.0143,0.57,15.92,1
Zepto,Oreo,Sponsored_Brands,2317.29,11379,232,14,1615.18,5,1,0.0204,0.7,9.99,1
Blinkit,Ariel,Sponsored_Brands,24001.07,110246,1783,113,74338.55,4,0,0.0162,3.1,13.46,0
Zepto,Oreo,Sponsored_Brands,17148.01,71840,1836,68,8015.16,6,1,0.0256,0.47,9.34,1
Blinkit,Surf_Excel,Sponsored_Brands,46066.53,239209,4391,166,128296.31,0,0,0.0184,2.79,10.49,1
Blinkit,Dove,Sponsored_Products,1094.15,9265,386,41,22035.37,0,0,0.0417,20.14,2.83,0
Swiggy,Sunfeast,Sponsored_Brands,27864.34,148644,2595,95,17066.08,0,0,0.0175,0.61,10.74,1
Swiggy,Cadbury,Sponsored_Brands,37162.85,235033,3310,113,27094.7,6,1,0.0141,0.73,11.23,1
Blinkit,Dove,Sponsored_Products,24508.39,201278,5562,401,240270.92,1,0,0.0276,9.8,4.41,0
Blinkit,Dove,Sponsored_Products,4727.45,37902,1624,132,68149.32,5,1,0.0428,14.42,2.91,0
Swiggy,Ariel,Sponsored_Products,48636.84,431519,13442,1088,714176.16,1,0,0.0312,14.68,3.62,0
Swiggy,Sunfeast,Sponsored_Products,26141.52,256887,7326,493,95310.52,4,0,0.0285,3.65,3.57,0
Swiggy,Bingo,Sponsored_Products,30902.22,251731,7516,400,32182.8,6,1,0.0299,1.04,4.11,1
Zepto,Surf_Excel,Sponsored_Products,12212.18,95174,2680,254,173048.07,0,0,0.0282,14.17,4.56,0
Blinkit,Surf_Excel,Sponsored_Brands,24433.16,126749,2545,146,103252.94,5,1,0.0201,4.23,9.6,0
Swiggy,Surf_Excel,Sponsored_Brands,21742.9,112889,2761,98,70273.5,5,1,0.0245,3.23,7.88,0
Blinkit,Surf_Excel,Sponsored_Display,4207.34,55072,454,9,6300.62,2,0,0.0082,1.5,9.27,1
Zepto,Ariel,Sponsored_Brands,5754.94,25963,427,21,15264.88,4,0,0.0164,2.65,13.48,1
Zepto,Oreo,Sponsored_Brands,41954.89,216937,4464,255,32809.57,5,1,0.0206,0.78,9.4,1
Swiggy,Surf_Excel,Sponsored_Products,12371.09,118035,4652,377,253598.35,6,1,0.0394,20.5,2.66,0
Zepto,Oreo,Sponsored_Products,10150.43,74727,2881,185,23537.46,0,0,0.0386,2.32,3.52,1
Blinkit,Oreo,Sponsored_Brands,25493.12,117012,2932,215,23560.74,0,0,0.0251,0.92,8.69,1
Swiggy,Bingo,Sponsored_Display,38552.98,549835,5348,80,7982.43,5,1,0.0097,0.21,7.21,1
Blinkit,Surf_Excel,Sponsored_Products,3566.35,25213,663,45,33797.55,1,0,0.0263,9.48,5.38,0
Blinkit,Knorr,Sponsored_Brands,29051.99,132650,1879,115,16971.71,4,0,0.0142,0.58,15.46,1
Zepto,Cadbury,Sponsored_Brands,6400.92,27479,498,18,4149.26,0,0,0.0181,0.65,12.85,1
Zepto,Dove,Sponsored_Display,2304.82,26030,239,5,2679.75,5,1,0.0092,1.16,9.64,1
Zepto,Oreo,Sponsored_Display,3110.83,41204,297,8,1014.12,0,0,0.0072,0.33,10.47,1
Zepto,Sunfeast,Sponsored_Products,41791.12,284746,12043,924,143890.87,5,1,0.0423,3.44,3.47,0
Zepto,Sunfeast,Sponsored_Display,6339.64,71817,736,17,2710.5,4,0,0.0102,0.43,8.61,1
Swiggy,Cadbury,Sponsored_Brands,2734.99,14051,339,17,4166.51,5,1,0.0241,1.52,8.07,1
Blinkit,Sunfeast,Sponsored_Brands,22176.04,100932,2368,108,19673.88,2,0,0.0235,0.89,9.36,1
Blinkit,Knorr,Sponsored_Display,42277.68,613005,4025,69,9932.47,5,1,0.0066,0.23,10.5,1
Blinkit,Sunfeast,Sponsored_Display,13489.21,168184,1327,25,4119.1,5,1,0.0079,0.31,10.17,1
Blinkit,Dove,Sponsored_Display,21374.77,275811,1940,54,32280.66,6,1,0.007,1.51,11.02,1
Zepto,Dove,Sponsored_Display,2476.17,28181,176,4,2058.5,4,0,0.0062,0.83,14.07,1
Blinkit,Oreo,Sponsored_Products,22729.39,201083,8412,546,73381.02,6,1,0.0418,3.23,2.7,0
Swiggy,Surf_Excel,Sponsored_Display,29091.85,408393,3746,73,57672.68,5,1,0.0092,1.98,7.77,1
Swiggy,Bingo,Sponsored_Products,28759.9,226399,7745,730,65276.01,4,0,0.0342,2.27,3.71,1
Blinkit,Knorr,Sponsored_Brands,16955.12,78097,1863,106,14833.78,2,0,0.0239,0.87,9.1,1
Blinkit,Oreo,Sponsored_Display,16118.89,176677,1628,44,4771.28,4,0,0.0092,0.3,9.9,1
Swiggy,Knorr,Sponsored_Products,5777.87,47303,1983,98,15812.33,0,0,0.0419,2.74,2.91,1
Swiggy,Surf_Excel,Sponsored_Display,18656.52,284998,2030,31,22344.73,6,1,0.0071,1.2,9.19,1
Zepto,Ariel,Sponsored_Brands,5424.99,27473,653,24,15377.76,4,0,0.0238,2.83,8.31,1
Swiggy,Sunfeast,Sponsored_Brands,38446.5,212500,4922,213,41042.73,2,0,0.0232,1.07,7.81,1
Zepto,Sunfeast,Sponsored_Brands,48330.58,248532,3946,189,34129.89,3,0,0.0159,0.71,12.25,1
Zepto,Bingo,Sponsored_Display,48518.69,538310,4017,62,5314.98,5,1,0.0075,0.11,12.08,1
Zepto,Surf_Excel,Sponsored_Display,43321.02,503857,4067,63,50509.48,4,0,0.0081,1.17,10.65,1
Zepto,Oreo,Sponsored_Products,30239.21,228022,7940,847,99183.97,5,1,0.0348,3.28,3.81,0
Zepto,Bingo,Sponsored_Brands,35192.85,182391,3880,138,13853.2,1,0,0.0213,0.39,9.07,1
Blinkit,Surf_Excel,Sponsored_Display,14617.69,168182,1510,35,26918.35,0,0,0.009,1.84,9.68,1
Swiggy,Cadbury,Sponsored_Brands,31723.14,154997,3098,182,46435.89,6,1,0.02,1.46,10.24,1
Zepto,Dove,Sponsored_Brands,23054.65,106245,1754,57,29758.15,0,0,0.0165,1.29,13.14,1
Swiggy,Bingo,Sponsored_Products,24359.86,215982,7326,705,61255.64,1,0,0.0339,2.51,3.33,1
Swiggy,Bingo,Sponsored_Products,38009.94,365001,9310,800,74921.45,1,0,0.0255,1.97,4.08,1
Zepto,Oreo,Sponsored_Products,14454.96,112948,4124,273,29465.05,6,1,0.0365,2.04,3.51,1
Blinkit,Knorr,Sponsored_Products,16242.96,140530,4356,281,45360.79,4,0,0.031,2.79,3.73,1
Zepto,Cadbury,Sponsored_Brands,46269.77,236551,3877,206,48713.44,1,0,0.0164,1.05,11.93,1
Blinkit,Oreo,Sponsored_Products,3283.1,22183,658,56,6163.27,3,0,0.0297,1.88,4.99,1
Swiggy,Surf_Excel,Sponsored_Products,24538.9,215294,6496,372,285184.94,5,1,0.0302,11.62,3.78,0
Blinkit,Surf_Excel,Sponsored_Products,45683.64,388775,15151,1394,1077636.57,5,1,0.039,23.59,3.02,0
Blinkit,Surf_Excel,Sponsored_Products,30712.97,217605,8409,541,419095.57,2,0,0.0386,13.65,3.65,0
Blinkit,Ariel,Sponsored_Brands,27547.15,121514,1908,115,79842.14,1,0,0.0157,2.9,14.44,1
Swiggy,Surf_Excel,Sponsored_Products,12862.34,115843,5179,478,352418.71,1,0,0.0447,27.4,2.48,0
Swiggy,Knorr,Sponsored_Brands,17492.14,84600,1441,62,9146.05,3,0,0.017,0.52,12.14,1
Blinkit,Cadbury,Sponsored_Display,42676.4,624231,4155,77,18406.87,0,0,0.0067,0.43,10.27,1
Blinkit,Sunfeast,Sponsored_Brands,28181.3,126717,2846,111,20895.99,0,0,0.0225,0.74,9.9,1
Zepto,Dove,Sponsored_Brands,25979.74,103873,1458,60,37371.48,5,1,0.014,1.44,17.82,1
Blinkit,Knorr,Sponsored_Products,5429.2,39171,1590,100,14637.88,5,1,0.0406,2.7,3.41,1
Zepto,Knorr,Sponsored_Display,1293.39,16252,154,2,311.19,4,0,0.0095,0.24,8.4,1
Blinkit,Ariel,Sponsored_Display,48202.42,665228,6848,203,134971.48,6,1,0.0103,2.8,7.04,1
Zepto,Sunfeast,Sponsored_Display,19160.82,230450,1760,31,5587.13,3,0,0.0076,0.29,10.89,1
Swiggy,Sunfeast,Sponsored_Display,30359.05,470590,4292,50,9554.68,6,1,0.0091,0.31,7.07,1
Blinkit,Dove,Sponsored_Brands,4445.9,23740,385,23,13435.85,6,1,0.0162,3.02,11.55,0
Blinkit,Dove,Sponsored_Display,34314.16,453509,3089,90,53461.5,2,0,0.0068,1.56,11.11,1
Blinkit,Sunfeast,Sponsored_Brands,46662.05,211359,4106,214,35611.68,6,1,0.0194,0.76,11.36,1
Blinkit,Surf_Excel,Sponsored_Brands,28995.43,143368,2046,108,87098.41,2,0,0.0143,3.0,14.17,0
Zepto,Knorr,Sponsored_Brands,6742.71,29454,734,24,3745.7,6,1,0.0249,0.56,9.19,1
Blinkit,Oreo,Sponsored_Display,29295.22,361705,2588,42,5414.79,3,0,0.0072,0.18,11.32,1
Swiggy,Dove,Sponsored_Products,38434.19,295031,10858,877,519846.1,2,0,0.0368,13.53,3.54,0
Swiggy,Ariel,Sponsored_Products,20617.62,181778,6414,560,367024.53,0,0,0.0353,17.8,3.21,0
Blinkit,Ariel,Sponsored_Display,44051.97,626659,6260,98,68019.71,2,0,0.01,1.54,7.04,1
Swiggy,Dove,Sponsored_Products,32609.81,286838,11121,558,321156.78,2,0,0.0388,9.85,2.93,0
Blinkit,Sunfeast,Sponsored_Products,45012.82,315215,8852,996,191938.46,3,0,0.0281,4.26,5.09,0
Blinkit,Cadbury,Sponsored_Brands,31363.51,157513,3230,230,61777.04,3,0,0.0205,1.97,9.71,1
Swiggy,Oreo,Sponsored_Brands,6998.75,41704,781,32,3591.24,2,0,0.0187,0.51,8.96,1
Blinkit,Oreo,Sponsored_Display,15829.74,178533,1060,26,2870.5,1,0,0.0059,0.18,14.93,1
Swiggy,Dove,Sponsored_Display,10488.85,167743,1157,25,14396.41,3,0,0.0069,1.37,9.07,1
Zepto,Surf_Excel,Sponsored_Products,45486.91,321607,11056,1116,882144.65,4,0,0.0344,19.39,4.11,0
Blinkit,Cadbury,Sponsored_Brands,38139.8,181407,4384,158,40310.2,4,0,0.0242,1.06,8.7,1
Zepto,Oreo,Sponsored_Display,33981.72,360189,2956,60,6995.11,0,0,0.0082,0.21,11.5,1
Swiggy,Dove,Sponsored_Display,15397.83,204334,1555,32,18219.87,6,1,0.0076,1.18,9.9,1
Zepto,Ariel,Sponsored_Display,9610.22,110818,838,19,12445.8,2,0,0.0076,1.3,11.47,1
Zepto,Oreo,Sponsored_Display,37944.33,387323,2946,76,9624.85,1,0,0.0076,0.25,12.88,1
Swiggy,Bingo,Sponsored_Display,23970.82,361911,3678,87,6850.81,0,0,0.0102,0.29,6.52,1
Zepto,Cadbury,Sponsored_Display,11676.58,147706,1533,24,6212.21,2,0,0.0104,0.53,7.62,1
Zepto,Cadbury,Sponsored_Products,31022.79,253402,9425,636,166829.78,3,0,0.0372,5.38,3.29,0
Swiggy,Bingo,Sponsored_Brands,2496.53,13134,290,11,889.74,4,0,0.0221,0.36,8.61,1
Zepto,Knorr,Sponsored_Brands,16645.43,80769,1915,116,17434.18,5,1,0.0237,1.05,8.69,1
Swiggy,Ariel,Sponsored_Display,23693.57,319097,3054,52,32978.44,1,0,0.0096,1.39,7.76,1
Zepto,Bingo,Sponsored_Brands,7823.94,35181,682,33,2786.75,5,1,0.0194,0.36,11.47,1
Swiggy,Sunfeast,Sponsored_Brands,49240.4,299258,4897,207,35526.85,4,0,0.0164,0.72,10.06,1
Swiggy,Sunfeast,Sponsored_Brands,10850.32,62697,1216,56,9155.9,6,1,0.0194,0.84,8.92,1
Zepto,Dove,Sponsored_Display,6952.48,70912,545,10,4988.16,6,1,0.0077,0.72,12.76,1
Zepto,Cadbury,Sponsored_Display,10574.98,118249,979,22,5017.74,5,1,0.0083,0.47,10.8,1
Zepto,Knorr,Sponsored_Brands,38568.53,160363,4068,152,22137.91,3,0,0.0254,0.57,9.48,1
Blinkit,Knorr,Sponsored_Brands,21562.53,124205,2224,92,14427.91,2,0,0.0179,0.67,9.7,1
Blinkit,Oreo,Sponsored_Display,28488.09,398702,2250,60,6805.24,3,0,0.0056,0.24,12.66,1
Blinkit,Oreo,Sponsored_Products,1539.95,12455,458,35,3746.28,5,1,0.0368,2.43,3.36,1
Swiggy,Bingo,Sponsored_Brands,2204.35,13511,259,13,1060.34,3,0,0.0192,0.48,8.51,1
Zepto,Knorr,Sponsored_Products,22568.36,156929,5841,619,94239.02,4,0,0.0372,4.18,3.86,0
Swiggy,Bingo,Sponsored_Brands,40924.43,222459,5591,309,26120.58,1,0,0.0251,0.64,7.32,1
Blinkit,Ariel,Sponsored_Products,44319.32,367056,12881,1327,863915.54,3,0,0.0351,19.49,3.44,0
Zepto,Bingo,Sponsored_Products,4791.98,31404,1301,89,8212.2,4,0,0.0414,1.71,3.68,1
Swiggy,Oreo,Sponsored_Products,27148.97,207786,8779,643,83186.53,1,0,0.0423,3.06,3.09,0
Zepto,Cadbury,Sponsored_Display,45704.87,520042,3694,87,20303.42,6,1,0.0071,0.44,12.37,1
Swiggy,Bingo,Sponsored_Products,19704.65,151764,6027,405,33875.44,2,0,0.0397,1.72,3.27,1
Zepto,Surf_Excel,Sponsored_Products,41563.51,310783,8763,820,581825.66,5,1,0.0282,14.0,4.74,0
Blinkit,Cadbury,Sponsored_Products,7117.93,56695,2558,208,45678.08,6,1,0.0451,6.42,2.78,0
Blinkit,Knorr,Sponsored_Brands,46802.03,227808,4828,250,35338.88,2,0,0.0212,0.76,9.69,1
Zepto,Knorr,Sponsored_Products,37695.45,262302,9207,556,73901.38,6,1,0.0351,1.96,4.09,1
Swiggy,Bingo,Sponsored_Brands,47096.05,297219,6336,225,18615.14,0,0,0.0213,0.4,7.43,1
Blinkit,Cadbury,Sponsored_Products,33992.55,229904,9759,697,163359.9,6,1,0.0424,4.81,3.48,0
Blinkit,Oreo,Sponsored_Products,18488.49,142567,3552,350,43876.57,4,0,0.0249,2.37,5.21,1
Blinkit,Oreo,Sponsored_Display,46939.97,652439,6172,164,18027.84,1,0,0.0095,0.38,7.61,1
Zepto,Sunfeast,Sponsored_Brands,14140.56,71334,1217,51,9201.01,6,1,0.0171,0.65,11.62,1
Zepto,Knorr,Sponsored_Products,16942.54,104450,2836,302,44029.11,3,0,0.0272,2.6,5.97,1
Swiggy,Dove,Sponsored_Brands,35190.02,205424,3229,182,97802.75,2,0,0.0157,2.78,10.9,1
Swiggy,Sunfeast,Sponsored_Brands,38383.16,209072,4111,184,33229.63,6,1,0.0197,0.87,9.34,1
Swiggy,Oreo,Sponsored_Display,46505.47,614886,6087,76,8647.92,1,0,0.0099,0.19,7.64,1
Zepto,Cadbury,Sponsored_Display,10637.72,123201,929,14,3373.85,4,0,0.0075,0.32,11.45,1
Zepto,Ariel,Sponsored_Display,40000.9,457766,4241,70,49750.08,0,0,0.0093,1.24,9.43,1
Swiggy,Oreo,Sponsored_Display,37058.03,487403,4698,80,9649.55,2,0,0.0096,0.26,7.89,1
Swiggy,Cadbury,Sponsored_Display,3657.83,57283,377,6,1579.07,5,1,0.0066,0.43,9.7,1
Zepto,Sunfeast,Sponsored_Display,19667.55,213587,1923,41,7224.53,1,0,0.009,0.37,10.23,1
Swiggy,Knorr,Sponsored_Display,14496.89,211347,1269,31,4119.25,5,1,0.006,0.28,11.42,1
Blinkit,Oreo,Sponsored_Display,15572.28,174803,1232,30,3439.14,1,0,0.007,0.22,12.64,1
Zepto,Bingo,Sponsored_Products,49155.87,370165,11736,880,82786.78,1,0,0.0317,1.68,4.19,1
Swiggy,Cadbury,Sponsored_Brands,32317.48,158456,2298,104,27548.88,4,0,0.0145,0.85,14.06,1
Zepto,Knorr,Sponsored_Display,36024.97,473404,3954,99,14613.48,4,0,0.0084,0.41,9.11,1
Blinkit,Ariel,Sponsored_Display,48842.57,713478,6504,186,129661.07,4,0,0.0091,2.65,7.51,1
Zepto,Ariel,Sponsored_Brands,19171.49,100923,2527,124,77826.8,6,1,0.025,4.06,7.59,0
Zepto,Dove,Sponsored_Products,40191.09,282596,7662,490,247853.86,3,0,0.0271,6.17,5.25,0
Zepto,Cadbury,Sponsored_Brands,22009.28,96509,1937,118,31995.67,1,0,0.0201,1.45,11.36,1
Zepto,Sunfeast,Sponsored_Brands,43541.92,231801,5179,244,45159.2,2,0,0.0223,1.04,8.41,1
Blinkit,Dove,Sponsored_Display,9442.55,123584,1236,20,10813.42,5,1,0.01,1.15,7.64,1
Zepto,Dove,Sponsored_Brands,47410.47,191150,2934,105,55115.47,4,0,0.0153,1.16,16.16,1
Zepto,Surf_Excel,Sponsored_Brands,11329.2,56324,1184,57,38068.04,6,1,0.021,3.36,9.57,0
Swiggy,Oreo,Sponsored_Display,16647.92,211522,1885,39,4773.47,4,0,0.0089,0.29,8.83,1
Zepto,Cadbury,Sponsored_Display,37931.52,489874,3384,83,22729.96,5,1,0.0069,0.6,11.21,1
Swiggy,Dove,Sponsored_Display,19990.88,325534,2042,32,17117.03,5,1,0.0063,0.86,9.79,1
Blinkit,Surf_Excel,Sponsored_Display,30606.46,337668,2483,70,56861.76,1,0,0.0074,1.86,12.33,1
Blinkit,Sunfeast,Sponsored_Brands,22506.39,109041,2347,142,26358.89,4,0,0.0215,1.17,9.59,1
Blinkit,Knorr,Sponsored_Brands,37247.31,162521,3703,243,38051.55,5,1,0.0228,1.02,10.06,1
Blinkit,Bingo,Sponsored_Products,11802.4,103741,3594,319,30428.14,3,0,0.0346,2.58,3.28,1
Swiggy,Bingo,Sponsored_Products,3393.67,28402,1010,49,4659.62,3,0,0.0356,1.37,3.36,1
Zepto,Cadbury,Sponsored_Brands,15346.51,77745,1643,88,19749.67,4,0,0.0211,1.29,9.34,1
Blinkit,Dove,Sponsored_Products,23978.28,161229,5283,376,196444.15,6,1,0.0328,8.19,4.54,0
Zepto,Bingo,Sponsored_Brands,8816.99,38803,843,30,2880.26,5,1,0.0217,0.33,10.46,1
Swiggy,Oreo,Sponsored_Products,18062.47,163536,5594,372,49941.58,1,0,0.0342,2.76,3.23,1
Swiggy,Bingo,Sponsored_Display,20299.16,299598,2920,63,6001.96,1,0,0.0097,0.3,6.95,1
Swiggy,Bingo,Sponsored_Products,3340.9,27910,845,75,6121.61,6,1,0.0303,1.83,3.95,1
Blinkit,Bingo,Sponsored_Display,29373.71,385781,2758,67,6524.36,1,0,0.0071,0.22,10.65,1
Zepto,Ariel,Sponsored_Display,44275.0,454925,3125,63,40344.78,0,0,0.0069,0.91,14.17,1
Zepto,Surf_Excel,Sponsored_Display,8011.27,89512,785,17,13447.77,4,0,0.0088,1.68,10.21,1
Zepto,Dove,Sponsored_Display,30091.5,393033,2421,52,26164.77,1,0,0.0062,0.87,12.43,1
Swiggy,Oreo,Sponsored_Products,33404.59,291669,10541,668,84897.27,3,0,0.0361,2.54,3.17,1
Blinkit,Dove,Sponsored_Brands,21257.07,111898,2580,157,89197.71,5,1,0.0231,4.2,8.24,0
Swiggy,Ariel,Sponsored_Display,35204.33,572931,5124,84,64153.49,2,0,0.0089,1.82,6.87,1
Swiggy,Cadbury,Sponsored_Products,20831.21,173481,5169,295,71228.38,6,1,0.0298,3.42,4.03,0
Zepto,Cadbury,Sponsored_Display,25479.55,308409,2489,38,9999.6,2,0,0.0081,0.39,10.24,1
Swiggy,Cadbury,Sponsored_Products,863.98,6537,286,21,5451.07,1,0,0.0438,6.31,3.02,0
Zepto,Sunfeast,Sponsored_Products,34740.15,233817,7401,510,93218.86,2,0,0.0317,2.68,4.69,1
Blinkit,Bingo,Sponsored_Products,33236.46,249707,7621,608,47920.12,2,0,0.0305,1.44,4.36,1
Zepto,Sunfeast,Sponsored_Brands,2400.84,11785,175,6,1094.67,0,0,0.0148,0.46,13.72,1
Blinkit,Surf_Excel,Sponsored_Products,18728.38,137508,4156,461,338010.2,3,0,0.0302,18.05,4.51,0
Zepto,Cadbury,Sponsored_Products,48962.08,340590,11076,926,224271.22,6,1,0.0325,4.58,4.42,0
Swiggy,Ariel,Sponsored_Brands,21326.46,121187,2203,114,77923.11,3,0,0.0182,3.65,9.68,0
Swiggy,Oreo,Sponsored_Brands,25346.3,142771,3232,105,13789.78,0,0,0.0226,0.54,7.84,1
Blinkit,Dove,Sponsored_Products,45541.54,383485,10565,810,476053.27,0,0,0.0275,10.45,4.31,0
Blinkit,Bingo,Sponsored_Brands,36004.46,182423,2620,134,12786.29,2,0,0.0144,0.36,13.74,1
Blinkit,Knorr,Sponsored_Display,29312.47,364575,3475,79,10562.58,4,0,0.0095,0.36,8.44,1
Zepto,Oreo,Sponsored_Display,39991.33,444375,4516,113,12464.39,5,1,0.0102,0.31,8.86,1
Zepto,Bingo,Sponsored_Brands,43286.13,216131,5418,338,31748.15,5,1,0.0251,0.73,7.99,1
Blinkit,Sunfeast,Sponsored_Brands,23115.96,115428,2259,103,17687.31,2,0,0.0196,0.77,10.23,1
Swiggy,Sunfeast,Sponsored_Products,24017.86,230771,9950,843,149655.44,5,1,0.0431,6.23,2.41,0
Zepto,Oreo,Sponsored_Brands,19609.52,92752,2123,127,16399.62,0,0,0.0229,0.84,9.24,1
Zepto,Sunfeast,Sponsored_Products,48351.95,371016,11723,918,163718.12,3,0,0.0316,3.39,4.12,0
Zepto,Cadbury,Sponsored_Display,35009.73,419304,2626,49,13057.76,5,1,0.0063,0.37,13.33,1
Blinkit,Surf_Excel,Sponsored_Brands,4619.54,22346,429,17,12976.22,6,1,0.0192,2.81,10.77,1
Blinkit,Dove,Sponsored_Products,43216.5,331121,14177,1063,559681.82,2,0,0.0428,12.95,3.05,0
Blinkit,Surf_Excel,Sponsored_Products,24287.72,193914,7098,752,555945.88,4,0,0.0366,22.89,3.42,0
Blinkit,Bingo,Sponsored_Display,3903.32,54783,383,6,557.7,2,0,0.007,0.14,10.19,1
Blinkit,Dove,Sponsored_Brands,27711.0,130072,3293,185,102164.94,1,0,0.0253,3.69,8.42,0
Swiggy,Ariel,Sponsored_Display,21149.63,309934,2443,47,36601.54,2,0,0.0079,1.73,8.66,1
Swiggy,Dove,Sponsored_Products,43948.6,338818,14627,1029,606833.98,0,0,0.0432,13.81,3.0,0
Blinkit,Surf_Excel,Sponsored_Products,10597.73,84226,3765,312,243739.35,3,0,0.0447,23.0,2.81,0
Zepto,Oreo,Sponsored_Brands,41410.0,165813,2808,165,19422.27,3,0,0.0169,0.47,14.75,1
Blinkit,Dove,Sponsored_Products,28105.59,199631,7206,706,373845.12,6,1,0.0361,13.3,3.9,0
Swiggy,Ariel,Sponsored_Brands,3203.21,17190,324,12,8923.62,5,1,0.0188,2.79,9.89,1
Swiggy,Ariel,Sponsored_Display,48606.34,630820,4777,77,50921.21,0,0,0.0076,1.05,10.18,1
Zepto,Ariel,Sponsored_Brands,25874.45,116073,2382,119,74979.94,1,0,0.0205,2.9,10.86,1
Swiggy,Surf_Excel,Sponsored_Brands,14898.4,91891,1426,84,65348.25,0,0,0.0155,4.39,10.45,0
Blinkit,Dove,Sponsored_Products,23735.64,188124,8200,791,452444.45,2,0,0.0436,19.06,2.89,0
Zepto,Knorr,Sponsored_Products,42963.96,264013,11017,1100,150651.07,0,0,0.0417,3.51,3.9,0
Blinkit,Oreo,Sponsored_Brands,15592.7,83322,1437,99,10311.31,0,0,0.0172,0.66,10.85,1
Blinkit,Cadbury,Sponsored_Products,10037.48,82829,2377,170,45316.79,6,1,0.0287,4.51,4.22,0
Zepto,Dove,Sponsored_Products,6889.03,56561,1896,142,73339.28,1,0,0.0335,10.65,3.63,0
Blinkit,Ariel,Sponsored_Products,15244.04,110559,4382,447,285985.0,2,0,0.0396,18.76,3.48,0
Swiggy,Knorr,Sponsored_Brands,39112.38,198573,4934,147,24705.67,4,0,0.0248,0.63,7.93,1
Blinkit,Cadbury,Sponsored_Products,23845.51,166575,4407,453,125875.16,6,1,0.0265,5.28,5.41,0
Zepto,Cadbury,Sponsored_Brands,11760.34,52348,1327,64,16279.13,4,0,0.0253,1.38,8.86,1
Zepto,Bingo,Sponsored_Products,8726.16,54009,1410,113,10858.23,6,1,0.0261,1.24,6.19,1
